Name,District,No,Party,KeywordList
मोहम्मद रफिक मियाँ,कपिलबस्तु,3,आम जनता पार्टी(एकल चुनाव चिन्ह),"""मोहम्मद रफिक मियाँ"" कपिलबस्तु 3|""मोहम्मद रफिक मियाँ"""
अशोक कुमार यादव,कपिलबस्तु,3,"जनता लोकतान्त्रिक पार्टी, नेपाल","""अशोक कुमार यादव"" कपिलबस्तु 3|""अशोक कुमार यादव"""
अब्दुलहमीद वेग,कपिलबस्तु,3,स्वतन्त्र,"""अब्दुलहमीद वेग"" कपिलबस्तु 3|""अब्दुलहमीद वेग"""
आनन्द प्रकाश यादव,कपिलबस्तु,3,स्वतन्त्र,"""आनन्द प्रकाश यादव"" कपिलबस्तु 3|""आनन्द प्रकाश यादव"""
इन्तजार खाँ,कपिलबस्तु,3,स्वतन्त्र,"""इन्तजार खाँ"" कपिलबस्तु 3|""इन्तजार खाँ"""
औसाफ अहमद खाँ,कपिलबस्तु,3,स्वतन्त्र,"""औसाफ अहमद खाँ"" कपिलबस्तु 3|""औसाफ अहमद खाँ"""
कृष्ण कुमार उपाध्याय,कपिलबस्तु,3,स्वतन्त्र,"""कृष्ण कुमार उपाध्याय"" कपिलबस्तु 3|""कृष्ण कुमार उपाध्याय"""
चिन्ता बहादुर दर्जी,कपिलबस्तु,3,स्वतन्त्र,"""चिन्ता बहादुर दर्जी"" कपिलबस्तु 3|""चिन्ता बहादुर दर्जी"""
थर्क वहादुर खन्गाहा,कपिलबस्तु,3,स्वतन्त्र,"""थर्क वहादुर खन्गाहा"" कपिलबस्तु 3|""थर्क वहादुर खन्गाहा"""
दुर्गा प्रसाद उपाध्याय,कपिलबस्तु,3,स्वतन्त्र,"""दुर्गा प्रसाद उपाध्याय"" कपिलबस्तु 3|""दुर्गा प्रसाद उपाध्याय"""
नूरुल कमर खाँ,कपिलबस्तु,3,स्वतन्त्र,"""नूरुल कमर खाँ"" कपिलबस्तु 3|""नूरुल कमर खाँ"""
परमेश्‍वर दयाल मिश्र,कपिलबस्तु,3,स्वतन्त्र,"""परमेश्‍वर दयाल मिश्र"" कपिलबस्तु 3|""परमेश्‍वर दयाल मिश्र"""
पंकाज कुमार चौधरी,कपिलबस्तु,3,स्वतन्त्र,"""पंकाज कुमार चौधरी"" कपिलबस्तु 3|""पंकाज कुमार चौधरी"""
बाल किसुन मुराउ (मौर्य),कपिलबस्तु,3,स्वतन्त्र,"""बाल किसुन मुराउ (मौर्य)"" कपिलबस्तु 3|""बाल किसुन मुराउ (मौर्य)"""
बालजी प्रसाद यादव,कपिलबस्तु,3,स्वतन्त्र,"""बालजी प्रसाद यादव"" कपिलबस्तु 3|""बालजी प्रसाद यादव"""
बुद्धिसागर शुक्ल,कपिलबस्तु,3,स्वतन्त्र,"""बुद्धिसागर शुक्ल"" कपिलबस्तु 3|""बुद्धिसागर शुक्ल"""
