CandidateName,AGE_YR,Gender,DistrictName,ConstName,PoliticalPartyName,SymbolName
प्रेम वहादुर थापा,34,पुरुष,धनकुटा,1,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल
जीतेन्द्र राई,54,पुरुष,धनकुटा,1,स्वतन्त्र,आँप
मन कुमार योञ्जन,31,पुरुष,धनकुटा,1,स्वतन्त्र,ढिकी
लाक्‍पा तामाङ्ग,36,पुरुष,धनकुटा,1,स्वतन्त्र,जीप
घनश्याम खतीवडा,64,पुरुष,मोरङ,1,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
खड्ग बहादुर फागो,50,पुरुष,मोरङ,1,नेपाली काँग्रेस,रुख
कुल प्रसाद साम्बा,47,पुरुष,मोरङ,1,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
यज्ञमणि  न्याैपाने,41,पुरुष,मोरङ,1,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
पूर्ण बहादुर वाइवा तामाङ्ग,70,पुरुष,मोरङ,1,राष्ट्रिय प्रजातन्त्र पार्टी,हलो
सुरज लिम्वु,42,पुरुष,मोरङ,1,मंगोल नेशनल अर्गनाइजेसन,कुखुराको भाले
फिव राज लिम्वु,48,पुरुष,मोरङ,1,नेपाल जनमुक्ति पार्टी,घर
दुर्गा कुमारी तामाङ,41,महिला,मोरङ,1,राष्ट्रिय परिवर्तन पार्टी,बाँसुरी
दिल कुमारी लावती,49,महिला,मोरङ,1,संघीय लोकतान्त्रिक राष्ट्रिय मञ्च,दाप सहितको खुकुरी
शान्ती पाख्रिन लामा,44,महिला,मोरङ,1,श्रम संस्कृति पार्टी,अँजुलीमा रहेको माटो
डिल्ली राम लिम्बु,42,पुरुष,मोरङ,1,मितेरी पार्टी नेपाल,घोडा
डिल्ली राम नेपाली,57,पुरुष,मोरङ,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल
ईशोर वाग्ले,50,पुरुष,मोरङ,1,स्वतन्त्र,दूरबिन
पशुपति घिमीरे,61,पुरुष,मोरङ,1,स्वतन्त्र,कैंची
प्रेम वर्देवा,37,पुरुष,मोरङ,1,स्वतन्त्र,ट्रफी
मिलन भण्‍डारी,48,पुरुष,मोरङ,1,स्वतन्त्र,सारङ्‌गी
याम प्रसाद दाहाल,60,पुरुष,मोरङ,1,स्वतन्त्र,ठेकी
दिलीप कुमार अग्रवाल,59,पुरुष,मोरङ,2,नेपाल कम्युनिष्ट पार्टी (एकीकृत मार्क्सवादी लेनिनवादी),सुर्य
मिनेन्द्र प्रसाद रिजाल,68,पुरुष,मोरङ,2,नेपाली काँग्रेस,रुख
चन्द्र वीर राई,70,पुरुष,मोरङ,2,नेपाली कम्युनिष्ट पार्टी,पाँचकुने तारा
कृष्ण कुमार कार्की,40,पुरुष,मोरङ,2,राष्ट्रिय स्वतन्त्र पार्टी,घण्टी
