CandidateName,DistrictName,ConstName,SmartKeywords
इरन कुमार राई,मोरङ,3,"""इरन कुमार राई"" मोरङ 3|""इरन कुमार राई"""
शुनिल कुमार शर्मा,मोरङ,3,"""शुनिल कुमार शर्मा"" मोरङ 3|""शुनिल कुमार शर्मा"""
डा. देउमान सम्वाहाङफे,मोरङ,3,"""डा. देउमान सम्वाहाङफे"" मोरङ 3"
गणेश कार्की,मोरङ,3,"""गणेश कार्की"" मोरङ 3|""गणेश कार्की"""
प्रेम प्रसाद सुवेदी,मोरङ,3,"""प्रेम प्रसाद सुवेदी"" मोरङ 3"
मजेबुल रहमान,मोरङ,3,"""मजेबुल रहमान"" मोरङ 3"
प्रशुराम विश्वास  थारु,मोरङ,3,"""प्रशुराम विश्वास  थारु"" मोरङ 3"
बिकेन्द्र राई,मोरङ,3,"""बिकेन्द्र राई"" मोरङ 3"
विदुर अधिकारी,मोरङ,3,"""विदुर अधिकारी"" मोरङ 3"
डिल्ली वहादुर जबेगु,मोरङ,3,"""डिल्ली वहादुर जबेगु"" मोरङ 3"
नवराज मास्के,मोरङ,3,"""नवराज मास्के"" मोरङ 3"
अमिर मगर,मोरङ,3,"""अमिर मगर"" मोरङ 3"
खड्ग बहादुर कार्की,मोरङ,3,"""खड्ग बहादुर कार्की"" मोरङ 3"
भुवन कुमार वाग्ले,मोरङ,3,"""भुवन कुमार वाग्ले"" मोरङ 3"
मित्रसेन योञ्जन,मोरङ,3,"""मित्रसेन योञ्जन"" मोरङ 3"
कमल कुमार राई,मोरङ,3,"""कमल कुमार राई"" मोरङ 3"
गणेश मिश्र,मोरङ,3,"""गणेश मिश्र"" मोरङ 3"
तेज प्रसाद भण्डारी,मोरङ,3,"""तेज प्रसाद भण्डारी"" मोरङ 3"
जिवन घिमीरे,मोरङ,4,"""जिवन घिमीरे""|""जिवन घिमीरे"" मोरङ 4"
गुरु राज घिमिरे,मोरङ,4,"""गुरु राज घिमिरे""|""गुरु राज घिमिरे"" मोरङ 4"
अमन लाल मोदी,मोरङ,4,"""अमन लाल मोदी"" मोरङ 4"
सन्तोष राजवंशी,मोरङ,4,"""सन्तोष राजवंशी"" मोरङ 4|""सन्तोष राजवंशी"""
माधव प्रसाद आचार्य,मोरङ,4,"""माधव प्रसाद आचार्य"" मोरङ 4"
तवरेज अखतर आलम ,मोरङ,4,"""तवरेज अखतर आलम"" मोरङ 4"
जिवन कुमार गुप्‍ता,मोरङ,4,"""जिवन कुमार गुप्‍ता"" मोरङ 4"
जयराम थारु,मोरङ,4,"""जयराम थारु"" मोरङ 4"
गोल्छा  राई ,मोरङ,4,"""गोल्छा  राई"" मोरङ 4"
हरनु मुसहर,मोरङ,4,"""हरनु मुसहर"" मोरङ 4"
कृष्ण कुमार अटल,मोरङ,4,"""कृष्ण कुमार अटल"" मोरङ 4"
हरि बहादुर बस्नेत,मोरङ,4,"""हरि बहादुर बस्नेत"" मोरङ 4"
हरि नारायण चौधरी,मोरङ,4,"""हरि नारायण चौधरी"" मोरङ 4"
कल्पना देेवि यादव,मोरङ,4,"""कल्पना देेवि यादव"" मोरङ 4"
नुमा लिम्बु,मोरङ,4,"""नुमा लिम्बु"" मोरङ 4"
अशोक शर्मा,मोरङ,4,"""अशोक शर्मा"" मोरङ 4"
भक्त मणी दाहाल,मोरङ,4,"""भक्त मणी दाहाल"" मोरङ 4"
विनोद कुमार कार्की,मोरङ,4,"""विनोद कुमार कार्की"" मोरङ 4"
ज्ञानेन्द्र खत्री,मोरङ,4,"""ज्ञानेन्द्र खत्री"" मोरङ 4"
मनोज कुमार अग्रवाल,मोरङ,5,"""मनोज कुमार अग्रवाल""|""मनोज कुमार अग्रवाल"" मोरङ 5"
