Candidate,EnglishName,Constituency,Author,Text
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,सचेत नागरिक ,"झापा ५ मा"" मन्धरा चिमरिया"" को जित सुनिश्चित छ। ओली को साख गिरेको गिरेइ छ, काठमाडौं को भगौडा मेयर काम गर्न नसकेर र्याप हान्ने दाउमा छ, उता पुर्व म्याउबादि का उम्मेदवार का राइट हेन्डले स्थानीय आमैले गाला चड्काइन सामाजिक सञ्जालमा भाइरल छ भोट रुखमा"
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Tika Ram Yatri,https:// youtu.be/yQ3Hv1UmBgM?si =p0cRw2WYXw4YbHpY …झापा ५ का सचेत मतदाताले बालेन र ओलीको अतिवाद निषेध गर्नेछन्- मन्धरा चिमरिया पौडेल
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Onlinekhabar,वार्ता- मन्धरा चिमरिया :  ओली र बालेनसँग लाइभ डिबेट पर्खिरहेकी यी कांग्रेस उम्मेदवार  #onlinekhabar #jhapa5
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Nirmal Prasai,"झापा - ५ मा कांग्रेसकी मन्धरा चिमरिया को जित निश्चित छ, ४५ प्रतिशत मतदाताको च्वाइसमा मन्धरा हुनुहुन्छ, ओली २४ प्रतिशत र बाँकीमा अन्य।"
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Onlinekhabar,भावी प्रधानमन्त्री घोषणा गरिएका एमालेका केपी शर्मा ओली र रास्वपाका बालेन शाहलाई चुनौती दिँदै चुनावी मैदानमा होमिएकी छिन् कांग्रेसकी मन्धरा चिमरिया ।  #onlinekhabar #NepalElection
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Ananda Nepali,कांग्रेसका १६५ उम्मेदवार   कोशी प्रदेश ताप्लेजुङ – गजेन्द्रप्रसाद तुम्याङ लिम्बू पाँचथर – नरेन्द्रकुमार केरूङ इलाम– १ निस्कल राई इलाम– २ भेषराज आचार्य झापा– १ केशवराज पाण्डे झापा– २ सरिता प्रसाईं झापा– ३ राजेन्द्र घिमिरे झापा– ४ देउमान थेबे झापा– ५ मन्धरा चिमरिया मोरङ– १
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Nirmal Prasai,"झापा - ५  मन्धरा चिमरिया - ३ हजार मतान्तरले विजयी केपी शर्मा ओली - दोस्रो बालेन साह - तेस्रो  गुगलका नेतालाई फेसबुकमा लाइक, भुगोलका नेतालाई ब्यालेटमा लाइक, नारा गाउँगाउँमा पुगिसक्यो।"
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Nepalkhabar,मिडियामा ओली-बालेनको चर्चा भए पनि मतदाता मेरो साथमा छन्: मन्धरा चिमरिया
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,रोसुपाकु,मंधरा चिमरिया आउनु हुन्छ अगाडी
मंधरा चिमरिया,Mndhra Chimriya,jhapa_5,Roshan साँवा,"झापा-५ ओलीको चौथो प्रतिस्पर्धा ०६४ मा कांग्रेसले 'म' बाट नाम हुने महिला (महिन्द्राकुमारी लिम्बू) लाई उठायो, विश्वदीप (सुरु अक्षरको उच्चारण 'ब' गरिने) ले चुनाव जिते। त्यसपछिको चौथो पालि ०८२ मा कांग्रेसले 'म' बाटै नाम हुने महिला (मन्धरा चिमरिया) लाई उठाएको छ। नतिजा के हुने हो!"
