Name,District,No,Party,Symbol,KeywordList
बिहारी राय अमात,धनुषा,1,नेपाल कम्युनिस्ट पार्टी (माओवादी),गोलो घेराभित्र दुई पात भएको गुलाफको फूल,"""बिहारी राय अमात""|""बिहारी"" धनुषा|""बिहारी"" 1|धनुषा 1 चुनाव|#बिहारी|""बिहारी राय अमात"" धनुषा"
महेश कुमार यादव,धनुषा,1,उज्यालो नेपाल पार्टी,बलिरहेको बिजुलीको चिम,"""महेश कुमार यादव""|""महेश"" धनुषा|""महेश"" 1|धनुषा 1 चुनाव|#महेश|""महेश कुमार यादव"" धनुषा"
बद्री नारायण ठाकुर सोनार,धनुषा,1,इतिहासिक जनता पार्टी,ट्रयाक्टर,"""बद्री नारायण ठाकुर सोनार""|""बद्री"" धनुषा|""बद्री"" 1|धनुषा 1 चुनाव|#बद्री|""बद्री नारायण ठाकुर सोनार"" धनुषा"
सतार मंसुर,धनुषा,1,नेपाल संघीय समाजवादी पार्टी(एकल चुनाव चिन्ह),बस,"""सतार मंसुर""|""सतार"" धनुषा|""सतार"" 1|धनुषा 1 चुनाव|#सतार|""सतार मंसुर"" धनुषा"
इन्द्रजित साफी,धनुषा,1,आम जनता पार्टी(एकल चुनाव चिन्ह),मोबाइल,"""इन्द्रजित साफी""|""इन्द्रजित"" धनुषा|""इन्द्रजित"" 1|धनुषा 1 चुनाव|#इन्द्रजित|""इन्द्रजित साफी"" धनुषा"
अजय भण्डारी,धनुषा,1,स्वतन्त्र,फिरफिरे,"""अजय भण्डारी""|""अजय"" धनुषा|""अजय"" 1|धनुषा 1 चुनाव|#अजय|""अजय भण्डारी"" धनुषा"
औती कुमारी विश्वकर्मा,धनुषा,1,स्वतन्त्र,क्याल्कुलेटर,"""औती कुमारी विश्वकर्मा""|""औती"" धनुषा|""औती"" 1|धनुषा 1 चुनाव|#औती|""औती कुमारी विश्वकर्मा"" धनुषा"
ककुलती कुमारी साह,धनुषा,1,स्वतन्त्र,बदेल,"""ककुलती कुमारी साह""|""ककुलती"" धनुषा|""ककुलती"" 1|धनुषा 1 चुनाव|#ककुलती|""ककुलती कुमारी साह"" धनुषा"
किरण कुमारी कापर,धनुषा,1,स्वतन्त्र,पंखा,"""किरण कुमारी कापर""|""किरण"" धनुषा|""किरण"" 1|धनुषा 1 चुनाव|#किरण|""किरण कुमारी कापर"" धनुषा"
किरण कुमारी पासमान,धनुषा,1,स्वतन्त्र,स्टुल,"""किरण कुमारी पासमान""|""किरण"" धनुषा|""किरण"" 1|धनुषा 1 चुनाव|#किरण|""किरण कुमारी पासमान"" धनुषा"
किरण कुमारी यादब,धनुषा,1,स्वतन्त्र,तिलहरी,"""किरण कुमारी यादब""|""किरण"" धनुषा|""किरण"" 1|धनुषा 1 चुनाव|#किरण|""किरण कुमारी यादब"" धनुषा"
चन्देश्‍वर दास तत्मा,धनुषा,1,स्वतन्त्र,आँप,"""चन्देश्‍वर दास तत्मा""|""चन्देश्‍वर"" धनुषा|""चन्देश्‍वर"" 1|धनुषा 1 चुनाव|#चन्देश्‍वर|""चन्देश्‍वर दास तत्मा"" धनुषा"
जगरनाथ मंडल,धनुषा,1,स्वतन्त्र,काउली,"""जगरनाथ मंडल""|""जगरनाथ"" धनुषा|""जगरनाथ"" 1|धनुषा 1 चुनाव|#जगरनाथ|""जगरनाथ मंडल"" धनुषा"
जय कृष्ण साह,धनुषा,1,स्वतन्त्र,मुढा,"""जय कृष्ण साह""|""जय"" धनुषा|""जय"" 1|धनुषा 1 चुनाव|#जय|""जय कृष्ण साह"" धनुषा"
जितन राय अमात,धनुषा,1,स्वतन्त्र,हजारी,"""जितन राय अमात""|""जितन"" धनुषा|""जितन"" 1|धनुषा 1 चुनाव|#जितन|""जितन राय अमात"" धनुषा"
परशुराम साह,धनुषा,1,स्वतन्त्र,व्याडमिन्टन कर्क,"""परशुराम साह""|""परशुराम"" धनुषा|""परशुराम"" 1|धनुषा 1 चुनाव|#परशुराम|""परशुराम साह"" धनुषा"
परिक्षण यादव,धनुषा,1,स्वतन्त्र,क्याप,"""परिक्षण यादव""|""परिक्षण"" धनुषा|""परिक्षण"" 1|धनुषा 1 चुनाव|#परिक्षण|""परिक्षण यादव"" धनुषा"
पवन कुमार यादव,धनुषा,1,स्वतन्त्र,कैंची,"""पवन कुमार यादव""|""पवन"" धनुषा|""पवन"" 1|धनुषा 1 चुनाव|#पवन|""पवन कुमार यादव"" धनुषा"
