CandidateName,EnglishCandidateName,DistrictName,EnglishDistrictName,ConstName,PowerSearchQuery
लक्ष्मी दत्त भट्ट,Lakshmi Datta Bhatt,डडेलधुरा,dadeldhura,1,"(""लक्ष्मी दत्त भट्ट"" OR ""Lakshmi Datta Bhatt"") (""dadeldhura"" OR ""constituency"") since:2025-09-05"
सुरेन्द्र रावल,Surendra Rawal,डडेलधुरा,dadeldhura,1,"(""सुरेन्द्र रावल"" OR ""Surendra Rawal"") (""dadeldhura"" OR ""constituency"") since:2025-09-05"
सुरेन्‍द्र राज भट्ट,Surendra Raj Bhatt,डडेलधुरा,dadeldhura,1,"(""सुरेन्‍द्र राज भट्ट"" OR ""Surendra Raj Bhatt"") (""dadeldhura"" OR ""constituency"") since:2025-09-05"
अजय भण्डारी,Ajay Bhandari,धनुषा,dhanusha,1,"(""अजय भण्डारी"" OR ""Ajay Bhandari"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
इन्द्रजित साफी,Indrajit Safi,धनुषा,dhanusha,1,"(""इन्द्रजित साफी"" OR ""Indrajit Safi"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
औती कुमारी विश्वकर्मा,Auti Kumari Vishwakarma,धनुषा,dhanusha,1,"(""औती कुमारी विश्वकर्मा"" OR ""Auti Kumari Vishwakarma"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
ककुलती कुमारी साह,Kakulti Kumari Sah,धनुषा,dhanusha,1,"(""ककुलती कुमारी साह"" OR ""Kakulti Kumari Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
किरण कुमारी कापर,Kiran Kumari Kapar,धनुषा,dhanusha,1,"(""किरण कुमारी कापर"" OR ""Kiran Kumari Kapar"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
किरण कुमारी पासमान,Kiran Kumari Paswan,धनुषा,dhanusha,1,"(""किरण कुमारी पासमान"" OR ""Kiran Kumari Paswan"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
किरण कुमारी यादब,Kiran Kumari Yadav,धनुषा,dhanusha,1,"(""किरण कुमारी यादब"" OR ""Kiran Kumari Yadav"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
किशोरी साह कमल,Kishori Sah Kamal,धनुषा,dhanusha,1,"(""किशोरी साह कमल"" OR ""Kishori Sah Kamal"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
चन्देश्‍वर दास तत्मा,Chandeshwar Das Tatma,धनुषा,dhanusha,1,"(""चन्देश्‍वर दास तत्मा"" OR ""Chandeshwar Das Tatma"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
जगरनाथ मंडल,Jagarnath Mandal,धनुषा,dhanusha,1,"(""जगरनाथ मंडल"" OR ""Jagarnath Mandal"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
जय कृष्ण साह,Jay Krishna Sah,धनुषा,dhanusha,1,"(""जय कृष्ण साह"" OR ""Jay Krishna Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
जितन राय अमात,Jitan Ray Amat,धनुषा,dhanusha,1,"(""जितन राय अमात"" OR ""Jitan Ray Amat"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
दीपक कार्की,Deepak Karki,धनुषा,dhanusha,1,"(""दीपक कार्की"" OR ""Deepak Karki"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
परशुराम साह,Prashuram Sah,धनुषा,dhanusha,1,"(""परशुराम साह"" OR ""Prashuram Sah"") (""dhanusha"" OR ""constituency"") since:2025-09-05"
